,article_id,authorId,name,url
81,10.1002/J.0022-0337.2007.71.10.TB04397.X,38392298,Peter Q Shelley,https://www.semanticscholar.org/author/38392298
82,10.1002/J.0022-0337.2007.71.10.TB04397.X,3882860,Bradford R. Johnson,https://www.semanticscholar.org/author/3882860
83,10.1002/J.0022-0337.2007.71.10.TB04397.X,6503077,E. Begole,https://www.semanticscholar.org/author/6503077
84,10.1002/J.0022-0337.2011.75.4.TB05068.X,1402453420,C. L. Straub-Morarend,https://www.semanticscholar.org/author/1402453420
85,10.1002/J.0022-0337.2011.75.4.TB05068.X,144428345,T. Marshall,https://www.semanticscholar.org/author/144428345
86,10.1002/J.0022-0337.2011.75.4.TB05068.X,2151197718,D. C. Holmes,https://www.semanticscholar.org/author/2151197718
87,10.1002/J.0022-0337.2011.75.4.TB05068.X,46279825,M. Finkelstein,https://www.semanticscholar.org/author/46279825
88,,2053922018,D. T. Ford,https://www.semanticscholar.org/author/2053922018
89,,2055882404,E. Leonardi,https://www.semanticscholar.org/author/2055882404
90,,40373164,A. Agocs,https://www.semanticscholar.org/author/40373164
91,,2936183,S. Fragkiskos,https://www.semanticscholar.org/author/2936183
92,,1869383,N. Kasfikis,https://www.semanticscholar.org/author/1869383
93,,49841878,J. Le Goff,https://www.semanticscholar.org/author/49841878
94,,4873853,M. Cristalli,https://www.semanticscholar.org/author/4873853
95,,5372658,V. Luzzi,https://www.semanticscholar.org/author/5372658
96,,2581255,A. Polimeni,https://www.semanticscholar.org/author/2581255
97,10.3233/978-1-60750-806-9-387,145748523,A. Acharya,https://www.semanticscholar.org/author/145748523
98,10.3233/978-1-60750-806-9-387,3107511,Andrea N Mahnke,https://www.semanticscholar.org/author/3107511
99,10.3233/978-1-60750-806-9-387,46769041,P. Chyou,https://www.semanticscholar.org/author/46769041
100,10.3233/978-1-60750-806-9-387,3011322,Carla Rottscheit,https://www.semanticscholar.org/author/3011322
101,10.3233/978-1-60750-806-9-387,1690334,J. Starren,https://www.semanticscholar.org/author/1690334
102,10.3233/978-1-58603-864-9-529,2066075628,M. Nagy,https://www.semanticscholar.org/author/2066075628
103,10.3233/978-1-58603-864-9-529,2969051,P. Hanzlícek,https://www.semanticscholar.org/author/2969051
104,10.3233/978-1-58603-864-9-529,32246566,J. Zvárová,https://www.semanticscholar.org/author/32246566
105,10.3233/978-1-58603-864-9-529,2965653,T. Dostálová,https://www.semanticscholar.org/author/2965653
106,10.3233/978-1-58603-864-9-529,2092776,M. Seydlova,https://www.semanticscholar.org/author/2092776
107,10.3233/978-1-58603-864-9-529,3023050,Radim Hippman,https://www.semanticscholar.org/author/3023050
108,10.3233/978-1-58603-864-9-529,2354488,L. Smídl,https://www.semanticscholar.org/author/2354488
109,10.3233/978-1-58603-864-9-529,2587544,J. Trmal,https://www.semanticscholar.org/author/2587544
110,10.3233/978-1-58603-864-9-529,8981123,J. Psutka,https://www.semanticscholar.org/author/8981123
111,10.3233/978-1-61499-645-3-230,32246566,J. Zvárová,https://www.semanticscholar.org/author/32246566
112,10.3233/978-1-61499-645-3-230,3323317,K. Chleborad,https://www.semanticscholar.org/author/3323317
113,10.3233/978-1-61499-645-3-230,3218479,K. Zvára,https://www.semanticscholar.org/author/3218479
114,10.3233/978-1-61499-645-3-230,2965653,T. Dostálová,https://www.semanticscholar.org/author/2965653
